ticker,data,ano_mes_carteira,book-to-market-value,indicator_rank,tercile
AXIA3,2009,2010,2.738275905679647,1.0,1
KSSA3,2009,2010,1.853388444171884,2.0,1
BRKM5,2009,2010,1.3542865063756486,3.0,1
CSMG3,2009,2010,1.3511413526792653,4.0,1
AGIN3,2009,2010,1.341598523141179,5.0,1
CLSC4,2009,2010,1.279524197821006,6.0,1
BISA3,2009,2010,1.2097591760010773,7.0,1
CPLE6,2009,2010,1.183034010425919,8.0,1
FESA4,2009,2010,1.1450831596744386,9.0,1
MAGG3,2009,2010,1.1315316444315289,10.0,1
ENEV3,2009,2010,1.077218257418583,11.0,1
LAND3,2009,2010,1.006553114912338,12.0,1
FIBR3,2009,2010,0.9989693859503233,13.0,1
VCPA4,2009,2010,0.9989693859503233,14.0,1
ENBR3,2009,2010,0.9957828941012794,15.0,1
EMBJ3,2009,2010,0.9259817356839644,16.0,1
SUZB5,2009,2010,0.917985497475053,17.0,1
BICB4,2009,2010,0.9070828906310836,18.0,1
GOAU4,2009,2010,0.8917638506912327,19.0,1
GPIV33,2009,2010,0.868828381604522,20.0,1
SULA11,2009,2010,0.8529297160136222,21.0,1
RSID3,2009,2010,0.8430912091117287,22.0,1
B3SA3,2009,2010,0.8291177583693689,23.0,1
TEND3-old,2009,2010,0.8180051932017478,24.0,1
GFSA3,2009,2010,0.8038638658088492,25.0,1
GOLL54,2009,2010,0.7879230781251607,26.0,1
FHER3,2009,2010,0.7773833555822849,27.0,1
CSAN3,2009,2010,0.7538157300895654,28.0,1
KLBN4,2009,2010,0.7499450027341127,29.0,1
POMO4,2009,2010,0.7356133055132686,30.0,1
BRML3,2009,2010,0.7270044470448332,31.0,1
MBRF3,2009,2010,0.7207375739861253,32.0,1
USIM5,2009,2010,0.7194670259385872,33.0,2
TCSL4,2009,2010,0.7099873113037365,34.0,2
TIMS3,2009,2010,0.7099873113037365,35.0,2
TMAR5,2009,2010,0.698360182805309,36.0,2
EQTL3,2009,2010,0.695085721243157,37.0,2
MULT3,2009,2010,0.6915769160859999,38.0,2
CMIG4,2009,2010,0.6913857972255164,39.0,2
GGBR4,2009,2010,0.6769355609435074,40.0,2
MYPK3,2009,2010,0.6732819324397333,41.0,2
CNFB4,2009,2010,0.6615465358103899,42.0,2
DURA4,2009,2010,0.6572991579143582,43.0,2
TNLP4,2009,2010,0.6508287465477032,44.0,2
ELPL4,2009,2010,0.6351326790075262,45.0,2
POSI3,2009,2010,0.6273126619002062,46.0,2
PCAR4,2009,2010,0.6253025144568899,47.0,2
VIVO4,2009,2010,0.6207087216944692,48.0,2
PSSA3,2009,2010,0.5965893294663526,49.0,2
ISAE4,2009,2010,0.5953589635566414,50.0,2
RAPT4,2009,2010,0.5885557220717,51.0,2
UGPA4,2009,2010,0.5805206632651491,52.0,2
ARTR3,2009,2010,0.575310105552473,53.0,2
LIGT3,2009,2010,0.5664963641926531,54.0,2
PDGR3,2009,2010,0.55977542931119,55.0,2
VALE5,2009,2010,0.5549459629609452,56.0,2
JBSS3,2009,2010,0.5249070310357588,57.0,2
BRFS3,2009,2010,0.5180610759767732,58.0,2
MRVE3,2009,2010,0.5104237861272004,59.0,2
VIVT4,2009,2010,0.4898538088507139,60.0,2
ITSA4,2009,2010,0.4641394158329154,61.0,2
PETR4,2009,2010,0.4632384278627937,62.0,2
TAMM4,2009,2010,0.4627570030248885,63.0,2
GVTT3,2009,2010,0.4567979988268853,64.0,3
SLCE3,2009,2010,0.446496838305719,65.0,3
CYRE3,2009,2010,0.4431482083993161,66.0,3
NETC4,2009,2010,0.438091093188237,67.0,3
PRML3,2009,2010,0.4106060024433265,68.0,3
AMIL3,2009,2010,0.3656521585689407,69.0,3
FFTL4,2009,2010,0.3388788517101653,70.0,3
ALLL11,2009,2010,0.3318952122490929,71.0,3
CPFE3,2009,2010,0.3286713747561721,72.0,3
CGAS5,2009,2010,0.3121584119875389,73.0,3
ABEV3,2009,2010,0.3029069138592035,74.0,3
AMBV4,2009,2010,0.3029069138592035,75.0,3
EGIE3,2009,2010,0.2965317527474042,76.0,3
LREN3,2009,2010,0.2961778960199624,77.0,3
OGXP3,2009,2010,0.2837911469226346,78.0,3
OIBR4,2009,2010,0.2667538674540201,79.0,3
DASA3,2009,2010,0.2622366183762375,80.0,3
WEGE3,2009,2010,0.2600137619292741,81.0,3
TOTS3,2009,2010,0.2440205086369077,82.0,3
RENT3,2009,2010,0.2368911371020653,83.0,3
CSNA3,2009,2010,0.2093343664644625,84.0,3
ARCZ6,2009,2010,0.185751037440152,85.0,3
LUPA3,2009,2010,0.1667422881373535,86.0,3
MOTV3,2009,2010,0.1512517918584933,87.0,3
SDIA4,2009,2010,0.1442729957357171,88.0,3
CRUZ3,2009,2010,0.1299893894704309,89.0,3
GETI4,2009,2010,0.0946211000081672,90.0,3
NATU3,2009,2010,0.0708957444534351,91.0,3
AMER3,2009,2010,0.0565182396258621,92.0,3
LAME4,2009,2010,0.0429645915303615,93.0,3
RDCD3,2009,2010,0.0355244852094876,94.0,3
CIEL3,2009,2010,0.0085030792190139,95.0,3
AXIA3,2010,2011,2.78684193682796,1.0,1
INEP4,2010,2011,1.4444181941728005,2.0,1
SLCE3,2010,2011,1.4072184520766735,3.0,1
SUZB5,2010,2011,1.3902931885156904,4.0,1
VIVR3,2010,2011,1.3667159593155618,5.0,1
CSMG3,2010,2011,1.3453721863063282,6.0,1
OIBR4,2010,2011,1.3379224812832042,7.0,1
GPIV33,2010,2011,1.248915964954177,8.0,1
SMTO3,2010,2011,1.2230466257872508,9.0,1
FIBR3,2010,2011,1.2188669447561815,10.0,1
PMAM3,2010,2011,1.119141823375407,11.0,1
TMAR5,2010,2011,1.1160910071509504,12.0,1
CPLE6,2010,2011,1.1132159137999806,13.0,1
BRML3,2010,2011,1.0810316159254292,14.0,1
BRKM5,2010,2011,1.0772437856387724,15.0,1
BRPR3,2010,2011,1.0760482361753338,16.0,1
FESA4,2010,2011,1.029283608066061,17.0,1
KLBN4,2010,2011,0.9982228363074976,18.0,1
JBSS3,2010,2011,0.9923116964391192,19.0,1
TNLP4,2010,2011,0.9373510024039508,20.0,1
EZTC3,2010,2011,0.8559193036874845,21.0,1
JHSF3,2010,2011,0.8444902795598883,22.0,1
LIGT3,2010,2011,0.8433359249781188,23.0,1
EVEN3,2010,2011,0.8336842402749673,24.0,1
B3SA3,2010,2011,0.8320689202544476,25.0,1
MAGG3,2010,2011,0.8080709301852319,26.0,1
ENBR3,2010,2011,0.8061095698033284,27.0,1
GOAU4,2010,2011,0.7883552712636653,28.0,1
BISA3,2010,2011,0.7745563674714523,29.0,1
CMIG4,2010,2011,0.7694580847757522,30.0,1
GFSA3,2010,2011,0.7656688345636166,31.0,1
EMBJ3,2010,2011,0.7621498397643985,32.0,1
USIM5,2010,2011,0.6994211578779507,33.0,1
RSID3,2010,2011,0.6983051893418486,34.0,1
PSSA3,2010,2011,0.6979500430020453,35.0,1
PETR4,2010,2011,0.6894862764001471,36.0,1
CNFB4,2010,2011,0.6889976761994584,37.0,1
LAND3,2010,2011,0.6749973473770023,38.0,1
BEEF3,2010,2011,0.6689660057209148,39.0,2
PDGR3,2010,2011,0.6649051564626361,40.0,2
SULA11,2010,2011,0.6480181566721294,41.0,2
CSAN3,2010,2011,0.6475325366035624,42.0,2
ALSC3,2010,2011,0.6466096269785324,43.0,2
GGBR4,2010,2011,0.639052326267152,44.0,2
BRFS3,2010,2011,0.6385452910520809,45.0,2
ENEV3,2010,2011,0.6379953061662762,46.0,2
MBRF3,2010,2011,0.635357115819113,47.0,2
ISAE4,2010,2011,0.6333137688936589,48.0,2
BICB4,2010,2011,0.6333110691230884,49.0,2
VIVT4,2010,2011,0.6286361690344534,50.0,2
ELPL4,2010,2011,0.6265895034282525,51.0,2
TCSL4,2010,2011,0.6223040717829779,52.0,2
TIMS3,2010,2011,0.6223040717829779,53.0,2
FFTL4,2010,2011,0.6093853302508732,54.0,2
NETC4,2010,2011,0.6054771396995345,55.0,2
COCE5,2010,2011,0.5833044985274631,56.0,2
IGTA3,2010,2011,0.5753998145585656,57.0,2
ITSA4,2010,2011,0.5741922660902627,58.0,2
KEPL3,2010,2011,0.5489316470331995,59.0,2
VLID3,2010,2011,0.5395586526682898,60.0,2
EQTL3,2010,2011,0.5194903325857133,61.0,2
CYRE3,2010,2011,0.5092398805045251,62.0,2
PLAS3,2010,2011,0.4950195944908436,63.0,2
MULT3,2010,2011,0.4916537802246917,64.0,2
BRAP4,2010,2011,0.4867596769420271,65.0,2
VALE5,2010,2011,0.4822027493034593,66.0,2
GOLL54,2010,2011,0.4705268596004558,67.0,2
MYPK3,2010,2011,0.4701732686466349,68.0,2
POSI3,2010,2011,0.4676684831173921,69.0,2
RAPT4,2010,2011,0.4649294694377561,70.0,2
OSXB3,2010,2011,0.4619281191474181,71.0,2
NEXP3,2010,2011,0.4505601043505034,72.0,2
POMO4,2010,2011,0.4492875615682483,73.0,2
DXCO3,2010,2011,0.4407495639719094,74.0,2
UGPA4,2010,2011,0.4361258445019046,75.0,2
MRVE3,2010,2011,0.4354842958392212,76.0,3
PCAR4,2010,2011,0.4245555558698259,77.0,3
SLED4,2010,2011,0.39531363242877,78.0,3
HYPE3,2010,2011,0.3922581576324059,79.0,3
VIVO4,2010,2011,0.3819960306086262,80.0,3
FLRY3,2010,2011,0.3718479320544361,81.0,3
ALLL11,2010,2011,0.362662631689324,82.0,3
EGIE3,2010,2011,0.3530577454270663,83.0,3
CPFE3,2010,2011,0.3447060413212255,84.0,3
ARTR3,2010,2011,0.3410962548409384,85.0,3
AEDU11,2010,2011,0.339894545389562,86.0,3
WEGE3,2010,2011,0.3204192764325581,87.0,3
ECOR3,2010,2011,0.3131986410125491,88.0,3
GETI4,2010,2011,0.2772384033858451,89.0,3
LUPA3,2010,2011,0.2597755359973346,90.0,3
AMIL3,2010,2011,0.2577062489843491,91.0,3
ABEV3,2010,2011,0.232157942319486,92.0,3
AMBV4,2010,2011,0.232157942319486,93.0,3
SAUD3,2010,2011,0.2315295266701916,94.0,3
MPLU3,2010,2011,0.2247188556847017,95.0,3
MOTV3,2010,2011,0.2165061346950815,96.0,3
TAMM4,2010,2011,0.2094577768317991,97.0,3
AMAR3,2010,2011,0.1981254947891079,98.0,3
RENT3,2010,2011,0.1932925024869793,99.0,3
PRML3,2010,2011,0.1872447767897304,100.0,3
OGXP3,2010,2011,0.1730397399754319,101.0,3
CSNA3,2010,2011,0.1719297660889036,102.0,3
HGTX3,2010,2011,0.1690461835613869,103.0,3
MMXM3,2010,2011,0.1613137604724565,104.0,3
DASA3,2010,2011,0.1600936182450454,105.0,3
LREN3,2010,2011,0.1532930117765353,106.0,3
TOTS3,2010,2011,0.1307828310673283,107.0,3
CRUZ3,2010,2011,0.0962560109915273,108.0,3
RDCD3,2010,2011,0.0826318561808405,109.0,3
AMER3,2010,2011,0.0678134891886997,110.0,3
NATU3,2010,2011,0.0652211326749598,111.0,3
CIEL3,2010,2011,0.0554866980717935,112.0,3
LAME4,2010,2011,0.0304723105369155,113.0,3
MILK33,2011,2012,2.81208438913077,1.0,1
AXIA3,2011,2012,2.5592852657855687,2.0,1
SUZB5,2011,2012,2.2287945465661134,3.0,1
FIBR3,2011,2012,1.664796599990053,4.0,1
JBSS3,2011,2012,1.5380655290457328,5.0,1
INEP4,2011,2012,1.3786321233153125,6.0,1
CSMG3,2011,2012,1.218513655478975,7.0,1
BRPR3,2011,2012,1.1840707856049095,8.0,1
GFSA3,2011,2012,1.1764446798448132,9.0,1
MBRF3,2011,2012,1.1537265048523702,10.0,1
TNLP4,2011,2012,1.1473977634004684,11.0,1
MAGG3,2011,2012,1.1360985887499968,12.0,1
OIBR4,2011,2012,1.112018071229688,13.0,1
SLCE3,2011,2012,1.083078056032862,14.0,1
CPLE6,2011,2012,1.0726853367268523,15.0,1
PMAM3,2011,2012,1.0692569218160453,16.0,1
TMAR5,2011,2012,1.053402335166998,17.0,1
GOAU4,2011,2012,1.04635693772314,18.0,1
FESA4,2011,2012,1.0448307063945612,19.0,1
ALOS3,2011,2012,0.9951967596494006,20.0,1
KLBN4,2011,2012,0.9835208292513552,21.0,1
PETR4,2011,2012,0.983142839873642,22.0,1
USIM5,2011,2012,0.94522217133827,23.0,1
B3SA3,2011,2012,0.940874703048828,24.0,1
POSI3,2011,2012,0.916302124666912,25.0,1
LAND3,2011,2012,0.9149266140752872,26.0,1
CSAN3,2011,2012,0.886345934289979,27.0,1
BISA3,2011,2012,0.8668498171573414,28.0,1
GGBR4,2011,2012,0.8646610844571845,29.0,1
VIVT4,2011,2012,0.8639128841013777,30.0,1
EVEN3,2011,2012,0.8188589317838797,31.0,1
BRML3,2011,2012,0.7935223882379545,32.0,1
ENBR3,2011,2012,0.7850741711321457,33.0,1
CNFB4,2011,2012,0.7823758377434711,34.0,1
BICB4,2011,2012,0.7822960017777418,35.0,1
HYPE3,2011,2012,0.7362925769715977,36.0,1
CYRE3,2011,2012,0.7126939695674022,37.0,1
BRKM5,2011,2012,0.6804797137561498,38.0,1
EQTL3,2011,2012,0.6759353435873876,39.0,1
PDGR3,2011,2012,0.647086115458581,40.0,1
TCSA3,2011,2012,0.6413246637454798,41.0,1
KROT11,2011,2012,0.6373755110551981,42.0,1
CMIG4,2011,2012,0.6303365717360324,43.0,2
BRFS3,2011,2012,0.615992597882236,44.0,2
ALSC3,2011,2012,0.614156408474609,45.0,2
MMXM3,2011,2012,0.602132442284267,46.0,2
RSID3,2011,2012,0.5981550396734044,47.0,2
PSSA3,2011,2012,0.5756230050513779,48.0,2
EMBJ3,2011,2012,0.5702601492740007,49.0,2
ISAE4,2011,2012,0.5608430693316571,50.0,2
LIGT3,2011,2012,0.5557287308886698,51.0,2
COCE5,2011,2012,0.5530052661022875,52.0,2
AUTM3,2011,2012,0.5483624843870963,53.0,2
TCSL4,2011,2012,0.5474051758090036,54.0,2
TIMS3,2011,2012,0.5474051758090036,55.0,2
BRAP4,2011,2012,0.5459308138069482,56.0,2
ELPL4,2011,2012,0.537823671127435,57.0,2
SULA11,2011,2012,0.5251256740340716,58.0,2
VALE5,2011,2012,0.5249000419266692,59.0,2
EZTC3,2011,2012,0.5239401753901464,60.0,2
ITSA4,2011,2012,0.5204832931053209,61.0,2
GOLL54,2011,2012,0.5179421670634116,62.0,2
MRVE3,2011,2012,0.5146835124953003,63.0,2
IGTA3,2011,2012,0.5089209977308603,64.0,2
PRIO3,2011,2012,0.5059370058342618,65.0,2
SLED4,2011,2012,0.5046929437344115,66.0,2
TAMM4,2011,2012,0.5034263734244596,67.0,2
ENAT3,2011,2012,0.4998878489454916,68.0,2
MULT3,2011,2012,0.4959614233945428,69.0,2
DXCO3,2011,2012,0.4908208764375872,70.0,2
OSXB3,2011,2012,0.4710110244023287,71.0,2
RAPT4,2011,2012,0.4669768274289094,72.0,2
FFTL4,2011,2012,0.4624572585040079,73.0,2
NEXP3,2011,2012,0.4520262327548789,74.0,2
ALLL3,2011,2012,0.4488600137204031,75.0,2
MYPK3,2011,2012,0.438370461696381,76.0,2
AEDU3,2011,2012,0.4256231726707052,77.0,2
VLID3,2011,2012,0.4067254655385952,78.0,2
AMER3,2011,2012,0.4037601974649242,79.0,2
MDIA3,2011,2012,0.4017265713360272,80.0,2
PCAR4,2011,2012,0.3910283098815673,81.0,2
RAIA3,2011,2012,0.3865320779872946,82.0,2
DASA3,2011,2012,0.3849478331849887,83.0,2
UGPA4,2011,2012,0.3705566817689032,84.0,3
YDUQ3,2011,2012,0.3679178662273621,85.0,3
FLRY3,2011,2012,0.359518239106074,86.0,3
VIVO4,2011,2012,0.3522722426380429,87.0,3
STBP11,2011,2012,0.3447611668697895,88.0,3
POMO4,2011,2012,0.324090605512447,89.0,3
ALPA4,2011,2012,0.3186068367570805,90.0,3
WEGE3,2011,2012,0.3183803204818493,91.0,3
CPFE3,2011,2012,0.3160227294415959,92.0,3
EGIE3,2011,2012,0.3108643152417126,93.0,3
ENEV3,2011,2012,0.2832803633022858,94.0,3
LUPA3,2011,2012,0.2726951127495528,95.0,3
PRML3,2011,2012,0.271778404419507,96.0,3
ARTR3,2011,2012,0.27120890317843,97.0,3
CTAX4,2011,2012,0.2561985948415647,98.0,3
CSNA3,2011,2012,0.25241412285191,99.0,3
TGMA3,2011,2012,0.24529613627443,100.0,3
ECOR3,2011,2012,0.2398563952233325,101.0,3
APER3,2011,2012,0.2263962554234767,102.0,3
AMIL3,2011,2012,0.2254221820144234,103.0,3
GETI4,2011,2012,0.2114445258813081,104.0,3
AMAR3,2011,2012,0.2089761892695371,105.0,3
MGLU3,2011,2012,0.2071645942826785,106.0,3
OGXP3,2011,2012,0.1926972912161107,107.0,3
RENT3,2011,2012,0.1843568956096321,108.0,3
AZZA3,2011,2012,0.1794165920146392,109.0,3
ABEV3,2011,2012,0.1714089379029298,110.0,3
AMBV4,2011,2012,0.1714089379029298,111.0,3
CTIP3,2011,2012,0.1712345849180732,112.0,3
SAUD3,2011,2012,0.167742511810416,113.0,3
LPSB3,2011,2012,0.1653929343907714,114.0,3
MOTV3,2011,2012,0.1631921358393891,115.0,3
TOTS3,2011,2012,0.1413587996810238,116.0,3
TECN3,2011,2012,0.1396714705435362,117.0,3
LREN3,2011,2012,0.1394804230970402,118.0,3
HGTX3,2011,2012,0.1034259128430101,119.0,3
RDCD3,2011,2012,0.0863323563886859,120.0,3
NATU3,2011,2012,0.0696948042843774,121.0,3
CRUZ3,2011,2012,0.0673902327786532,122.0,3
CIEL3,2011,2012,0.0619789566418688,123.0,3
MPLU3,2011,2012,0.0532182645647444,124.0,3
LAME4,2011,2012,0.0484713777193564,125.0,3
AXIA6,2012,2013,3.810099931914322,1.0,1
SUZB5,2012,2013,3.6361825717725855,2.0,1
USIM5,2012,2013,2.4497464857844538,3.0,1
GFSA3,2012,2013,2.3131119668210594,4.0,1
PMAM3,2012,2013,2.2690995035818458,5.0,1
PRIO3,2012,2013,2.0867101224081046,6.0,1
FIBR3,2012,2013,1.8602237107809496,7.0,1
BISA3,2012,2013,1.693042172611286,8.0,1
RSID3,2012,2013,1.5974985028111142,9.0,1
PDGR3,2012,2013,1.5229245905470106,10.0,1
MAGG3,2012,2013,1.4779237377405685,11.0,1
LAND3,2012,2013,1.4015866295107915,12.0,1
PETR4,2012,2013,1.3864816220093652,13.0,1
JBSS3,2012,2013,1.1805248467211955,14.0,1
GOAU4,2012,2013,1.162557477635551,15.0,1
AMER3,2012,2013,1.1542879875287386,16.0,1
ENAT3,2012,2013,1.104910310528986,17.0,1
OSXB3,2012,2013,1.0953870678888251,18.0,1
TCSA3,2012,2013,1.0940060264456628,19.0,1
CPLE6,2012,2013,1.0864836674004172,20.0,1
EVEN3,2012,2013,1.043090706681804,21.0,1
MBRF3,2012,2013,1.037880221161333,22.0,1
BRPR3,2012,2013,1.0198369885105822,23.0,1
B3SA3,2012,2013,0.9802734043867276,24.0,1
KROT11,2012,2013,0.963478187759951,25.0,1
GGBR4,2012,2013,0.9486886388842256,26.0,1
SLCE3,2012,2013,0.9476520845076076,27.0,1
CSMG3,2012,2013,0.9291603590564372,28.0,1
ALOS3,2012,2013,0.9204216701809737,29.0,1
HYPE3,2012,2013,0.897800293759136,30.0,1
BRKM5,2012,2013,0.8881315062623466,31.0,1
PSSA3,2012,2013,0.8698295936484979,32.0,1
ELPL4,2012,2013,0.8588467423403129,33.0,1
SMTO3,2012,2013,0.8583728218377019,34.0,1
EQTL3,2012,2013,0.8361005390010795,35.0,1
BRAP4,2012,2013,0.8256356493430097,36.0,1
MRVE3,2012,2013,0.8239078689456916,37.0,1
OIBR4,2012,2013,0.8237175978938885,38.0,1
CZLT33,2012,2013,0.8087528426783671,39.0,1
VIVT4,2012,2013,0.7967103220039415,40.0,1
CYRE3,2012,2013,0.7930786910118438,41.0,1
VALE5,2012,2013,0.7686859148219884,42.0,2
SLED4,2012,2013,0.767987518685818,43.0,2
ENBR3,2012,2013,0.7497428047775009,44.0,2
ALLL3,2012,2013,0.7214645566878796,45.0,2
CSAN3,2012,2013,0.7129067070096853,46.0,2
MMXM3,2012,2013,0.7066603300635451,47.0,2
SULA11,2012,2013,0.7023659670828291,48.0,2
BRML3,2012,2013,0.6927656165297027,49.0,2
KLBN4,2012,2013,0.659121445290208,50.0,2
ITSA4,2012,2013,0.6581605837534552,51.0,2
DXCO3,2012,2013,0.6543703885801511,52.0,2
EMBJ3,2012,2013,0.6477451225166537,53.0,2
AUTM3,2012,2013,0.6419383203988278,54.0,2
LIGT3,2012,2013,0.6366121243371035,55.0,2
DASA3,2012,2013,0.633886240894912,56.0,2
RAPT4,2012,2013,0.6267219867121749,57.0,2
GOLL54,2012,2013,0.625106901447145,58.0,2
HBOR3,2012,2013,0.582723735013797,59.0,2
PRML3,2012,2013,0.5784227335718369,60.0,2
AEDU3,2012,2013,0.5730491754668477,61.0,2
GRND3,2012,2013,0.5702409455402273,62.0,2
ALSC3,2012,2013,0.5606619151721379,63.0,2
NEXP3,2012,2013,0.5573786749507217,64.0,2
COCE5,2012,2013,0.555737162440438,65.0,2
IMCH3,2012,2013,0.5507179466668197,66.0,2
BRFS3,2012,2013,0.5305465205720679,67.0,2
BPHA3,2012,2013,0.5304143426469904,68.0,2
LEVE3,2012,2013,0.5243140007834102,69.0,2
EZTC3,2012,2013,0.5144819128346848,70.0,2
IGTA3,2012,2013,0.5010800759661491,71.0,2
TIMS3,2012,2013,0.4950983757825813,72.0,2
JHSF3,2012,2013,0.4776445651399997,73.0,2
ABRE11,2012,2013,0.4714693926717563,74.0,2
ISAE4,2012,2013,0.4698190213536442,75.0,2
OGXP3,2012,2013,0.4673094996831389,76.0,2
ETER3,2012,2013,0.4670308176472185,77.0,2
SIMH3,2012,2013,0.4614040233444718,78.0,2
CSNA3,2012,2013,0.4492321508235261,79.0,2
ENEV3,2012,2013,0.4465254741966297,80.0,2
CMIG4,2012,2013,0.4318904488377775,81.0,2
QUAL3,2012,2013,0.4302956447330562,82.0,2
FLRY3,2012,2013,0.4261272804526511,83.0,3
MYPK3,2012,2013,0.3955917179922762,84.0,3
BEEF3,2012,2013,0.3853002345382951,85.0,3
PCAR4,2012,2013,0.3829219396840375,86.0,3
MULT3,2012,2013,0.3572370185918437,87.0,3
MGLU3,2012,2013,0.3437059358932559,88.0,3
YDUQ3,2012,2013,0.3400705192023849,89.0,3
STBP11,2012,2013,0.3387721045019028,90.0,3
MDIA3,2012,2013,0.3329757751865602,91.0,3
WEGE3,2012,2013,0.3169590432177469,92.0,3
ALPA4,2012,2013,0.3107367645246983,93.0,3
POMO4,2012,2013,0.3104868078749228,94.0,3
VLID3,2012,2013,0.3025009755365451,95.0,3
CGAS5,2012,2013,0.2861190205616978,96.0,3
CPFE3,2012,2013,0.285220550013244,97.0,3
APER3,2012,2013,0.2740232571592992,98.0,3
TECN3,2012,2013,0.270713153560367,99.0,3
LPSB3,2012,2013,0.2500071113339914,100.0,3
ARTR3,2012,2013,0.2422965446819063,101.0,3
UGPA3,2012,2013,0.2418283371906736,102.0,3
EGIE3,2012,2013,0.2311088262380518,103.0,3
AMIL3,2012,2013,0.2269640408094581,104.0,3
ECOR3,2012,2013,0.2238880561911529,105.0,3
AMAR3,2012,2013,0.214760087561868,106.0,3
CTIP3,2012,2013,0.2042107872445764,107.0,3
TGMA3,2012,2013,0.2026166556899693,108.0,3
RENT3,2012,2013,0.1989353561628072,109.0,3
GETI4,2012,2013,0.1884211668655808,110.0,3
LREN3,2012,2013,0.1610203549619632,111.0,3
AZZA3,2012,2013,0.1553239662183488,112.0,3
SAUD3,2012,2013,0.131614961123109,113.0,3
